	TGrepID	Question	Every	A	The	Other	Wh	ModalPresent
121	24525:28	well, how do you, how do you feel  about, uh, companies drug testing prior to  hiring?	0.14772727272727273	0.01681818181818182	0.730909090909091	0.10454545454545454	how	0
314	124701:9	well, what would  be your advice to a parent of a child thinking of  attending college?	0.175	0.406	0.2879999999999999	0.131	what	1
379	109245:9	well, where do you take those things 	0.15157894736842104	0.2094736842105263	0.6294736842105263	0.009473684210526315	where	0
6	15539:4	what have you seen  lately?	0.47555555555555556	0.23333333333333334	0.2827777777777778	0.0077777777777777845	what	0
807	148861:4	where do you buy your tole painting paints at  around here?	0.15190476190476193	0.20238095238095238	0.6423809523809523	0.0033333333333333335	where	0
337	123033:11	and, and how will you, make that actually happen 	0.1405	0.28250000000000003	0.575	0.002	how	1
324	86224:4	when were you there 	0.03150000000000001	0.14300000000000002	0.7755	0.05	when	0
298	61578:4	how are your kids handling it 	0.23190476190476195	0.30380952380952375	0.36523809523809525	0.09904761904761905	how	0
426	98545:9	and so how do you relate as to whether this particular armed robbery was a, you know, worth five years or twenty-five 	0.06799999999999999	0.21200000000000002	0.596	0.124	how	0
978	141164:7	so what do you feel   are the current trends in the way  families spend time in general, you know, in america 	0.5755	0.20750000000000002	0.11699999999999999	0.1	what	0
